smiles,IC50
O=C(c1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)N1CCc2c([nH]c3ccccc23)[C@H]1c1ccc2c(c1)OCO2,67.0
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C(N)=O)cc23)cc1Cl.Cl,2.0
CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2cccc(OC)c2)n(CC)c1=O,100.0
COc1ccc(CNc2nnc(N3CCC(=O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,0.53
CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc3c(c2)OCO3)n(CC)c1=O,3.7
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3cc(Cl)c(Cl)cc23)cc1Cl.Cl,0.86
CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)c(Cl)c2)n(CC)c1=O,1.8
COc1ccc(CNc2nnc(N3CCCC(O)C3)c3ccc(C#N)cc23)cc1Cl.Cl,1.2
CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(C)c2)n(CC)c1=O,19.0
CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(OC)c(Cl)c2)n(CC)c1=O,1.1
COc1ccc(CNc2nnc(N3CCC(C(=O)O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,3.1
COc1ccc(CNc2nnc(N3CCCCC3)c3ccc(C#N)cc23)cc1Cl.Cl,0.55
COc1ccc(CNc2nnc(N3CCNCC3)c3ccc(C#N)cc23)cc1Cl.Cl,1.23
O=C([O-])C1CCN(c2nc(NCc3ccc4c(c3)OCO4)c3cc(Cl)ccc3n2)CC1.[Na+],3.7
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C(F)(F)F)cc23)cc1Cl.Cl,0.73
CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(OC)cc2)n(CC)c1=O,2.1
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc([N+](=O)[O-])cc23)cc1Cl.Cl,0.3
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(Cl)cc23)cc1Cl.Cl,4.4
CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)c(F)c2)n(CC)c1=O,0.82
COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl.Cl,3.0
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C(=O)O)cc23)cc1Cl.Cl,600.0
COc1ccc(CNc2nnc(NCc3ccncc3)c3ccc(C#N)cc23)cc1Cl.Cl,6.7
CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(Cl)c2)n(CC)c1=O,0.58
COc1ccc(CNc2nnc(N3CCC(CCO)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,0.7
COc1ccc(CNc2nnc(N3CCC(C)(O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,0.7
